私人订制,2013-12-19大陆上映,7.4,7.13
变形金刚4：绝迹重生,2014-06-27大陆上映,9.2,19.76
大闹天竺,2017-01-28大陆上映,7.4,7.56
钢铁侠3,2013-05-01大陆上映,9.0,7.54
狮子王,2019-07-12大陆上映,8.8,8.33
碟中谍4,2012-01-28大陆上映,8.8,6.72
狂暴巨兽,2018-04-13大陆上映,8.9,10.03
蝙蝠侠大战超人：正义黎明,2016-03-25大陆上映,8.0,6.18
蜘蛛侠：英雄归来,2017-09-08大陆上映,8.2,7.74
X战警：天启,2016-06-03大陆上映,8.9,8.00
霍比特人3：五军之战,2015-01-23大陆上映,9.1,7.61
铃芽之旅,2023-03-24 09:00大陆上映,9.0,8.07
绝地逃亡,2016-07-21大陆上映,8.5,8.87
澳门风云2,2015-02-19大陆上映,8.7,9.72
美国队长2,2014-04-04大陆上映,9.2,7.18
穿过寒冬拥抱你,2021-12-31 18:00大陆上映,9.5,9.36
唐人街探案,2015-12-31大陆上映,9.0,8.23
X战警：逆转未来,2014-05-23大陆上映,9.0,7.22
冰雪奇缘2,2019-11-22大陆上映,8.9,8.60
北京遇上西雅图之不二情书,2016-04-29大陆上映,8.5,7.85
长城,2016-12-16大陆上映,8.4,11.73
智取威虎山,2014-12-23大陆上映,9.2,8.83
唐山大地震,2010-07-22大陆上映,8.3,6.49
分手大师,2014-06-27大陆上映,8.4,6.65
狄仁杰之四大天王,2018-07-27大陆上映,8.1,6.06
神探大战,2022-07-08 18:00大陆上映,9.0,7.12
疯狂动物城,2016-03-04大陆上映,9.5,15.31
致我们终将逝去的青春,2013-04-26大陆上映,8.3,7.19
中国医生,2021-07-09大陆上映,9.3,13.28
巨齿鲨,2018-08-10大陆上映,8.7,10.53
猩球崛起2：黎明之战,2014-08-29大陆上映,9.0,7.07
终结者：创世纪,2015-08-23大陆上映,8.9,7.22
悬崖之上,2021-04-30 18:00大陆上映,9.1,11.91
侏罗纪世界3,2022-06-10大陆上映,8.0,10.59
明日战记,2022-08-05 10:00大陆上映,9.1,6.79
使徒行者2：谍影行动,2019-08-07大陆上映,9.0,7.02
天将雄师,2015-02-19大陆上映,8.3,7.42
扬名立万,2021-11-11 18:00大陆上映,9.1,9.26
雷神3：诸神黄昏,2017-11-03大陆上映,8.9,7.43
让子弹飞,2010-12-16大陆上映,8.5,6.36
李茶的姑妈,2018-09-30大陆上映,7.9,6.04
西游记女儿国,2018-02-16大陆上映,7.9,7.27
莫斯科行动,2023-09-29 09:00大陆上映,9.1,6.64
爸爸去哪儿,2014-01-31大陆上映,8.4,6.96
阿丽塔：战斗天使,2019-02-22大陆上映,9.0,8.96
前任4：英年早婚,2023-09-28 18:00大陆上映,8.7,10.12
人再囧途之泰囧,2012-12-12大陆上映,8.7,12.70
功夫熊猫2,2011-05-28大陆上映,8.6,6.11
无名,2023-01-22 09:00大陆上映,9.0,9.31
惊奇队长,2019-03-08大陆上映,8.7,10.35
夏洛特烦恼,2015-09-30大陆上映,9.3,14.44
铁道飞虎,2016-12-23大陆上映,8.5,6.99
银河护卫队2,2017-05-05大陆上映,9.1,6.86
你的婚礼,2021-04-30大陆上映,8.0,8.22
末日崩塌,2015-06-02大陆上映,9.1,6.28
我的姐姐,2021-04-02 18:00大陆上映,8.8,8.60
,8.31
巨齿鲨2：深渊,2023-08-04 09:00大陆上映,8.9,8.51
环太平洋,2013-07-31大陆上映,8.7,6.95
周处除三害,2024-03-01 09:00大陆上映,9.3,6.65
人潮汹涌,2021-02-12大陆上映,9.0,7.62
银河护卫队3,2023-05-05大陆上映,9.2,6.06
一闪一闪亮星星,2023-12-30 10:00大陆上映,8.9,7.02
来电狂响,2018-12-28大陆上映,8.6,6.41
新木乃伊,2017-06-09大陆上映,7.1,6.25
非诚勿扰2,2010-12-22大陆上映,7.5,4.71
无问西东,2018-01-12大陆上映,8.6,7.54
哥，你好,2022-09-09 12:00大陆上映,9.1,5.47
